snapshot_date,category,seniority,tier,listings_with_ai,total_listings,pct,required_count
8/5/2026,security,mid,any_ai,34,1385,2.5,26
8/5/2026,security,mid,genai,24,1385,1.7,19
8/5/2026,security,mid,ml,11,1385,0.8,7
8/5/2026,security,senior,any_ai,44,842,5.2,36
8/5/2026,security,senior,genai,34,842,4,27
8/5/2026,security,senior,ml,16,842,1.9,14
8/17/2026,ai,all,any_ai,686,1125,61,683
8/17/2026,ai,all,genai,382,1125,34,369
8/17/2026,ai,all,ml,543,1125,48.3,538
8/17/2026,ai,entry,any_ai,7,38,18.4,7
8/17/2026,ai,entry,genai,2,38,5.3,2
8/17/2026,ai,entry,ml,6,38,15.8,6
8/17/2026,ai,mid,any_ai,322,523,61.6,319
8/17/2026,ai,mid,genai,196,523,37.5,188
8/17/2026,ai,mid,ml,241,523,46.1,240
8/17/2026,ai,senior,any_ai,357,564,63.3,357
8/17/2026,ai,senior,genai,184,564,32.6,179
8/17/2026,ai,senior,ml,296,564,52.5,292
8/17/2026,data,all,any_ai,304,2589,11.7,289
8/17/2026,data,all,genai,122,2589,4.7,114
8/17/2026,data,all,ml,242,2589,9.3,232
8/17/2026,data,entry,any_ai,12,125,9.6,11
8/17/2026,data,entry,genai,5,125,4,5
8/17/2026,data,entry,ml,9,125,7.2,8
8/17/2026,data,mid,any_ai,114,1492,7.6,107
8/17/2026,data,mid,genai,38,1492,2.5,35
8/17/2026,data,mid,ml,97,1492,6.5,93
8/17/2026,data,senior,any_ai,178,972,18.3,171
8/17/2026,data,senior,genai,79,972,8.1,74
8/17/2026,data,senior,ml,136,972,14,131
8/17/2026,devops,all,any_ai,85,1485,5.7,73
8/17/2026,devops,all,genai,51,1485,3.4,39
8/17/2026,devops,all,ml,40,1485,2.7,39
8/17/2026,devops,entry,any_ai,0,27,0,0
8/17/2026,devops,entry,genai,0,27,0,0
8/17/2026,devops,entry,ml,0,27,0,0
8/17/2026,devops,mid,any_ai,34,742,4.6,27
8/17/2026,devops,mid,genai,26,742,3.5,18
8/17/2026,devops,mid,ml,11,742,1.5,11
8/17/2026,devops,senior,any_ai,51,716,7.1,46
8/17/2026,devops,senior,genai,25,716,3.5,21
8/17/2026,devops,senior,ml,29,716,4.1,28
8/17/2026,engineering,all,any_ai,581,4597,12.6,532
8/17/2026,engineering,all,genai,437,4597,9.5,395
8/17/2026,engineering,all,ml,235,4597,5.1,210
8/17/2026,engineering,entry,any_ai,7,106,6.6,7
8/17/2026,engineering,entry,genai,4,106,3.8,4
8/17/2026,engineering,entry,ml,5,106,4.7,5
8/17/2026,engineering,mid,any_ai,194,1795,10.8,183
8/17/2026,engineering,mid,genai,143,1795,8,135
8/17/2026,engineering,mid,ml,84,1795,4.7,76
8/17/2026,engineering,senior,any_ai,380,2696,14.1,342
8/17/2026,engineering,senior,genai,290,2696,10.8,256
8/17/2026,engineering,senior,ml,146,2696,5.4,129
8/17/2026,product,all,any_ai,176,1112,15.8,162
8/17/2026,product,all,genai,149,1112,13.4,132
8/17/2026,product,all,ml,46,1112,4.1,43
8/17/2026,product,entry,any_ai,2,12,16.7,2
8/17/2026,product,entry,genai,0,12,0,0
8/17/2026,product,entry,ml,2,12,16.7,2
8/17/2026,product,mid,any_ai,67,449,14.9,59
8/17/2026,product,mid,genai,56,449,12.5,50
8/17/2026,product,mid,ml,15,449,3.3,13
8/17/2026,product,senior,any_ai,107,651,16.4,101
8/17/2026,product,senior,genai,93,651,14.3,82
8/17/2026,product,senior,ml,29,651,4.5,28
8/17/2026,security,all,any_ai,51,624,8.2,42
8/17/2026,security,all,genai,44,624,7.1,38
8/17/2026,security,all,ml,10,624,1.6,5
8/17/2026,security,entry,any_ai,0,25,0,0
8/17/2026,security,entry,genai,0,25,0,0
8/17/2026,security,entry,ml,0,25,0,0
8/17/2026,security,mid,any_ai,28,365,7.7,23
8/17/2026,security,mid,genai,22,365,6,20
8/17/2026,security,mid,ml,7,365,1.9,3
8/17/2026,security,senior,any_ai,23,234,9.8,19
8/17/2026,security,senior,genai,22,234,9.4,18
8/17/2026,security,senior,ml,3,234,1.3,2
